central_shell_r,h,chirality,p_minus4,p_minus3,p_minus2,p_minus1,p0,p_plus1,p_plus2,p_plus3,p_plus4,endpoint_span
908120,110476,1,1237103085901,1237105810251,1237108534603,1237111258959,1237113983317,1237116707679,1237119432043,1237122156411,1237124880781,21794880
911795,-112856,-1,1247145978837,1247148714211,1247151449589,1247154184969,1247156920353,1247159655739,1247162391129,1247165126521,1247167861917,21883080
914275,-88526,-1,1253940147677,1253942890511,1253945633349,1253948376189,1253951119033,1253953861879,1253956604729,1253959347581,1253962090437,21942600
917230,-292244,1,1262030423401,1262033175091,1262035926783,1262038678479,1262041430177,1262044181879,1262046933583,1262049685291,1262052437001,22013520
920490,321406,1,1271037119401,1271039880871,1271042642343,1271045403819,1271048165297,1271050926779,1271053688263,1271056449751,1271059211241,22091760
923975,302764,-1,1280661447627,1280664219551,1280666991479,1280669763409,1280672535343,1280675307279,1280678079219,1280680851161,1280683623107,22175400
932565,417394,-1,1304549848277,1304552645951,1304555443629,1304558241309,1304561038993,1304563836679,1304566634369,1304569432061,1304572229757,22381560
933990,131716,1,1308542884201,1308545686111,1308548488023,1308551289939,1308554091857,1308556893779,1308559695703,1308562497631,1308565299561,22415760
936960,194476,1,1316876993101,1316879803831,1316882614563,1316885425299,1316888236037,1316891046779,1316893857523,1316896668271,1316899479021,22487040
944470,165226,1,1338070052401,1338072885811,1338075719223,1338078552639,1338081386057,1338084219479,1338087052903,1338089886331,1338092719761,22667280
947100,-158144,1,1345541449501,1345544290771,1345547132043,1345549973319,1345552814597,1345555655879,1345558497163,1345561338451,1345564179741,22730400
960525,77824,-1,1383900964987,1383903846551,1383906728119,1383909609689,1383912491263,1383915372839,1383918254419,1383921136001,1383924017587,23052600
987200,-136124,1,1461833777501,1461836739091,1461839700683,1461842662279,1461845623877,1461848585479,1461851547083,1461854508691,1461857470301,23692800
993405,-63266,-1,1480268256937,1480271237141,1480274217349,1480277197559,1480280177773,1480283157989,1480286138209,1480289118431,1480292098657,23841720
995175,377134,-1,1485548355997,1485551341511,1485554327029,1485557312549,1485560298073,1485563283599,1485566269129,1485569254661,1485572240197,23884200
995555,255634,-1,1486682946037,1486685932691,1486688919349,1486691906009,1486694892673,1486697879339,1486700866009,1486703852681,1486706839357,23893320
1010270,101326,1,1530876620401,1530879651191,1530882681983,1530885712779,1530888743577,1530891774379,1530894805183,1530897835991,1530900866801,24246480
1058895,285094,-1,1681720434177,1681723610861,1681726787549,1681729964239,1681733140933,1681736317629,1681739494329,1681742671031,1681745847737,25413480
1069980,-161324,1,1717242786001,1717245995431,1717249204863,1717252414299,1717255623737,1717258833179,1717262042623,1717265252071,1717268461521,25679520
1084035,-356306,-1,1762663209477,1762666461581,1762669713689,1762672965799,1762676217913,1762679470029,1762682722149,1762685974271,1762689226397,26016840
1103350,-485234,1,1826297156401,1826300466391,1826303776383,1826307086379,1826310396377,1826313706379,1826317016383,1826320326391,1826323636401,26480400
1107035,296524,-1,1838516212177,1838519533261,1838522854349,1838526175439,1838529496533,1838532817629,1838536138729,1838539459831,1838542780937,26568840
1127620,-411524,1,1907255115001,1907258497591,1907261880183,1907265262779,1907268645377,1907272027979,1907275410583,1907278793191,1907282175801,27062880
1130490,190486,1,1916993657401,1916997048871,1917000440343,1917003831819,1917007223297,1917010614779,1917014006263,1917017397751,1917020789241,27131760
1134820,4276,1,1931706690601,1931710095031,1931713499463,1931716903899,1931720308337,1931723712779,1931727117223,1931730521671,1931733926121,27235680
1137175,-544796,-1,1939731309997,1939734721511,1939738133029,1939741544549,1939744956073,1939748367599,1939751779129,1939755190661,1939758602197,27292200
1144370,-287114,1,1964368777801,1964372210911,1964375644023,1964379077139,1964382510257,1964385943379,1964389376503,1964392809631,1964396242761,27464880
1158035,-374906,-1,2011541085577,2011544559661,2011548033749,2011551507839,2011554981933,2011558456029,2011561930129,2011565404231,2011568878337,27792840
